07/01/2025,J DOWLING CR,551.00
06/01/2025,WAITROSE 232 SURBITON ))),-61.65
06/01/2025,POST OFFICE COUNTE SURBITON ))),-4.99
06/01/2025,SPOTIFY LONDON VIS,-11.99
06/01/2025,MICROSOFT*MICROSOF MSBILL.INFO VIS,-1.99
06/01/2025,ELEANOR GREGORY RICHARD SO,-282.00
03/01/2025,INT'L 0095480516 APPLE.COM/BILL 08001076285 VIS,-0.99
03/01/2025,SIDERIS A HSBC gigs BP,300.00
03/01/2025,DONBURI IN OXFORD ))),-16.20
03/01/2025,HSBC CREDIT CARD DD,-453.17
02/01/2025,WAITROSE 211 ABINGDON ))),-24.88
31/12/2024,THE NAGS HEAD ABINGDON ))),-12.40
31/12/2024,THE NAGS HEAD ABINGDON ))),-12.90
30/12/2024,WAITROSE 211 ABINGDON ))),-5.12
30/12/2024,GOOGLE *Google Pla g.co/helppay# VIS,-4.59
30/12/2024,OCTOPUS ENERGY DD,-189.41
27/12/2024,SAINSBURYS S/MKTS SURY BASIN ))),-24.40
27/12/2024,WAITROSE 195 KINGSTON ))),-11.10
27/12/2024,MR RICHARD DOWLING ZOPA BANK LIMITED CR,500.00
27/12/2024,Childcare Tax Serv 1100107521844 BP,-42.81
27/12/2024,CHILDCARE TAX SERV 1100107521844 SO,-338.84
26/12/2024,Richard Dowling SavingsPayments OBP,-300.00
24/12/2024,OLIVER BONAS KINGS KINGSTON ))),-64.45
24/12/2024,JOHN LEWIS WOOD STREET ))),-3.40
24/12/2024,POST OFFICE COUNTE SURBITON ))),-11.55
24/12/2024,The Poacher and Pa Tonbridge ))),-74.00
24/12/2024,JOHN LEWIS KINGSTON VIS,-221.00
24/12/2024,Richard Dowling Saver 85aa4246 UEv OBP,"-6,000.00"
24/12/2024,Interactive Invest 5229225 OBP,"-3,580.00"
24/12/2024,Interactive Invest 5603912 OBP,"-20,000.00"
24/12/2024,VODAFONE LTD DD,-23.98
23/12/2024,WAITROSE 232 SURBITON ))),-54.30
23/12/2024,SumUp  *ThePressRo Twickenham ))),-2.75
23/12/2024,HAMMERSMITH LEON LONDON ))),-11.18
23/12/2024,TFL TRAVEL CH TFL.GOV.UK/CP ))),-7.40
23/12/2024,Amazon Prime*035J5 amzn.co.uk/pm VIS,-8.99
23/12/2024,1271 LIDL GB CHESS LIDL GB CHESS VIS,-143.64
23/12/2024,TOOLSTATION UK NORTHAMPTON VIS,-36.24
20/12/2024,Eleanor Gregory Squirrel nuts BP,"-20,050.00"
20/12/2024,BRIDGE C C LOCO carolling BP,210.00
20/12/2024,POST OFFICE COUNTE SURBITON ))),-16.45
20/12/2024,CHARLIES STORES LT BUTTINGTON VIS,-26.49
20/12/2024,Richard Dowling savings BP,-500.00
19/12/2024,KFC SURBITON VIS,-18.48
19/12/2024,SAINSBURYS S/MKTS SURBITON ))),-4.35
19/12/2024,DOWLING MH For isla x CR,40.00
19/12/2024,BURAS C A EMBASSY CAROLS CR,200.00
19/12/2024,STAFF OLLER LCS 9/12 BP,150.00
19/12/2024,STAFF OLLER LCS 27/11 BP,416.60
18/12/2024,SAINSBURYS S/MKTS SURBITON ))),-6.30
17/12/2024,McDonalds 8261163 Lambeth VIS,-7.33
17/12/2024,SAINSBURYS S/MKTS GUILDFORD 828 ))),-7.25
17/12/2024,FARNHAM ROAD CAR P GUILDFORD ))),-9.00
17/12/2024,VRISTHI NEWS THAMES DITTON VIS,-7.20
16/12/2024,TFL TRAVEL CH TFL.GOV.UK/CP ))),-10.40
16/12/2024,THE LION AND THE U LONDON ))),-3.49
16/12/2024,SHELL LONG DITTON THAMES DITTON ))),-30.02
16/12/2024,TFL TRAVEL CH TFL.GOV.UK/CP ))),-13.40
16/12/2024,GARSONS GARDEN CEN ESHER ))),-89.00
16/12/2024,Wasabi_WaterlooSta London ))),-12.40
16/12/2024,TST-SURBEANTON RES Surbiton ))),-2.75
16/12/2024,SQ *KINGSTON XMAS Hampton Wick ))),-13.30
16/12/2024,SQ *KINGSTON XMAS Hampton Wick VIS,6.00
16/12/2024,INTERACTIVE INVEST DD,-540.00
